trial,csv_line,D_file,W_file,ID_fitts_bits,ID_shannon_bits,x_home_m,x_target_m,tolerance_m,x_start_m,D_effective_m,outcome,success,rt_kinematic_s,mt_first_entry_s,mt_final_entry_s,mt_first_entry_kin_s,mt_final_entry_kin_s,task_time_s,n_entries,peak_speed_x_mps,t_peak_speed_x_s,overshoot_m,endpoint_error_m,y_max_dev_m,sat_fraction,dt_mean_ms,dt_max_ms,samples,wall_clock,note
47,48,12.000000,0.888889,4.754887,3.857981,0.400000,0.280000,0.004444,0.400409,0.120409,success,1,0.005996,0.312018,0.312018,0.306022,0.306022,1.312084,1,0.639223,0.180011,0.000000,-0.000226,0.003227,0.1250,2.000,2.035,656,2026-09-11T18:50:51.944,
48,49,8.000000,0.888889,4.169925,3.321928,0.400000,0.320000,0.004444,0.400417,0.080417,success,1,0.005990,0.254004,0.254004,0.248014,0.248014,1.254154,1,0.491881,0.141998,0.000341,0.000269,0.003230,0.0893,2.000,2.038,627,2026-09-11T18:50:55.060,
49,50,18.000000,2.000000,4.169925,3.321928,0.400000,0.220000,0.010000,0.400201,0.180201,success,1,0.005990,0.350022,0.350022,0.344032,0.344032,1.350116,1,0.800607,0.234016,0.000058,-0.000184,0.003227,0.1911,2.000,2.023,675,2026-09-11T18:50:57.731,
50,51,27.000000,2.000000,4.754888,3.857981,0.400000,0.130000,0.010000,0.400466,0.270466,success,1,0.008002,0.430031,0.430031,0.422029,0.422029,1.430097,1,0.990693,0.328024,0.004552,0.003356,0.003227,0.2937,2.000,2.019,715,2026-09-11T18:51:01.495,
51,52,18.000000,2.000000,4.169925,3.321928,0.400000,0.220000,0.010000,0.400670,0.180670,success,1,0.007993,0.348067,0.348067,0.340074,0.340074,1.348154,1,0.808201,0.238047,0.000361,0.000062,0.003215,0.2003,2.000,2.072,674,2026-09-11T18:51:06.281,
52,53,12.000000,1.333333,4.169925,3.321928,0.400000,0.280000,0.006667,0.400493,0.120493,success,1,0.008006,0.300025,0.300025,0.292019,0.292019,1.300083,1,0.642499,0.182013,0.000000,-0.000847,0.003211,0.1292,2.000,2.027,650,2026-09-11T18:51:10.052,
53,54,8.000000,1.333333,3.584963,2.807355,0.400000,0.320000,0.006667,0.399860,0.079860,success,1,0.005971,0.241985,0.241985,0.236014,0.236014,1.242043,1,0.489165,0.139979,0.000409,0.000349,0.003211,0.0918,2.000,2.009,621,2026-09-11T18:51:13.160,
54,55,27.000000,0.888889,5.924812,4.971543,0.400000,0.130000,0.004444,0.400197,0.270197,success,1,0.005990,0.450015,0.450015,0.444025,0.444025,1.450072,1,0.983524,0.326009,0.002981,0.002020,0.003211,0.2855,2.000,2.026,725,2026-09-11T18:51:15.814,
55,56,18.000000,0.888889,5.339850,4.409391,0.400000,0.220000,0.004444,0.400186,0.180186,success,1,0.005989,0.378101,0.378101,0.372112,0.372112,1.378191,1,0.801404,0.246083,0.000138,-0.000040,0.003211,0.1872,2.000,2.060,689,2026-09-11T18:51:20.593,
56,57,30.375000,1.000000,5.924813,4.971544,0.400000,0.096250,0.005000,0.400224,0.303974,success,1,0.005990,0.470015,0.576020,0.464025,0.570030,1.576078,2,1.041826,0.344008,0.005753,0.003433,0.003211,0.2906,2.000,2.024,788,2026-09-11T18:51:24.383,
57,58,15.187500,0.500000,5.924813,4.971544,0.400000,0.248125,0.002500,0.399531,0.151406,success,1,0.007993,0.364009,0.364009,0.356016,0.356016,1.365269,1,0.740918,0.218002,0.000465,0.000223,0.003200,0.1613,2.002,3.182,682,2026-09-11T18:51:29.913,
58,59,12.000000,0.888889,4.754887,3.857981,0.400000,0.280000,0.004444,0.400209,0.120209,success,1,0.005998,0.312047,0.312047,0.306049,0.306049,1.312126,1,0.641126,0.178037,0.000000,-0.000109,0.003208,0.1250,2.000,2.026,656,2026-09-11T18:51:33.409,
59,60,27.000000,1.333333,5.339850,4.409391,0.400000,0.130000,0.006667,0.400193,0.270193,success,1,0.007992,0.440019,0.440019,0.432027,0.432027,1.440119,1,0.989070,0.330011,0.004571,0.003367,0.003208,0.2917,2.000,2.018,720,2026-09-11T18:51:36.529,
60,61,15.000000,2.500000,3.584963,2.807355,0.400000,0.250000,0.012500,0.400182,0.150182,success,1,0.007993,0.308007,0.308007,0.300014,0.300014,1.308071,1,0.741997,0.218002,0.000565,0.000145,0.003196,0.1682,2.000,2.009,654,2026-09-11T18:51:41.327,
61,62,12.000000,1.333333,4.169925,3.321928,0.400000,0.280000,0.006667,0.400140,0.120140,success,1,0.007995,0.298014,0.298014,0.290019,0.290019,1.298070,1,0.642972,0.182001,0.000000,-0.000506,0.003196,0.1294,2.000,2.008,649,2026-09-11T18:51:44.764,
62,63,12.000000,2.000000,3.584963,2.807355,0.400000,0.280000,0.010000,0.399754,0.119754,success,1,0.008020,0.282014,0.282014,0.273994,0.273994,1.282101,1,0.638654,0.178008,0.000000,-0.000866,0.003192,0.1326,2.000,2.031,641,2026-09-11T18:51:47.878,
63,64,15.000000,2.500000,3.584963,2.807355,0.400000,0.250000,0.012500,0.400144,0.150144,success,1,0.007995,0.308009,0.308009,0.300014,0.300014,1.308144,1,0.738644,0.214004,0.000000,-0.000165,0.003192,0.1575,2.000,2.048,654,2026-09-11T18:51:50.998,
64,65,27.000000,1.333333,5.339850,4.409391,0.400000,0.130000,0.006667,0.400356,0.270356,success,1,0.005991,0.438034,0.438034,0.432043,0.432043,1.438104,1,0.992215,0.324027,0.003258,0.002160,0.003196,0.2865,2.000,2.026,719,2026-09-11T18:51:54.408,
65,66,18.000000,0.888889,5.339850,4.409391,0.400000,0.220000,0.004444,0.400182,0.180182,success,1,0.005989,0.376019,0.376019,0.370030,0.370030,1.376094,1,0.808318,0.246011,0.000153,-0.000025,0.003192,0.1846,2.000,2.039,688,2026-09-11T18:51:59.177,
66,67,18.000000,1.333333,4.754888,3.857981,0.400000,0.220000,0.006667,0.399739,0.179739,success,1,0.007995,0.362010,0.362010,0.354015,0.354015,1.362063,1,0.812016,0.250004,0.000717,0.000361,0.003189,0.2026,2.000,2.013,681,2026-09-11T18:52:02.963,
67,68,30.375000,1.000000,5.924813,4.971544,0.400000,0.096250,0.005000,0.399883,0.303633,success,1,0.007993,0.468025,0.614044,0.460032,0.606051,1.614106,2,1.047049,0.342008,0.008073,0.000946,0.003189,0.2900,2.000,2.030,807,2026-09-11T18:52:06.735,
68,69,18.000000,0.888889,5.339850,4.409391,0.400000,0.220000,0.004444,0.400500,0.180500,success,1,0.007990,0.374033,0.374033,0.366043,0.366043,1.374111,1,0.811834,0.238026,0.000550,0.000251,0.003185,0.1994,2.000,2.019,687,2026-09-11T18:52:12.000,
